index,case_id,field,source,local_pdf,status,bytes,error
1,ai_transformer_attention,NLP / AI,https://arxiv.org/pdf/1706.03762,inputs\deepscientist_20_cases\papers\ai_transformer_attention.pdf,skipped_existing,2215244,
2,ai_rag_knowledge_nlp,NLP / RAG,https://arxiv.org/pdf/2005.11401,inputs\deepscientist_20_cases\papers\ai_rag_knowledge_nlp.pdf,skipped_existing,885323,
3,medical_chexnet,Medical AI,https://arxiv.org/pdf/1711.05225,inputs\deepscientist_20_cases\papers\medical_chexnet.pdf,skipped_existing,557031,
4,finance_finrl,Quantitative Finance,https://arxiv.org/pdf/2011.09607,inputs\deepscientist_20_cases\papers\finance_finrl.pdf,skipped_existing,1682566,
5,physics_gravitational_waves,Physics,https://arxiv.org/pdf/1602.03837,inputs\deepscientist_20_cases\papers\physics_gravitational_waves.pdf,skipped_existing,935476,
6,materials_megnet,Materials Science,https://arxiv.org/pdf/1812.05055,inputs\deepscientist_20_cases\papers\materials_megnet.pdf,skipped_existing,3824297,
7,neuroscience_deeplabcut,Neuroscience / Behavior,https://arxiv.org/pdf/1804.03142,inputs\deepscientist_20_cases\papers\neuroscience_deeplabcut.pdf,skipped_existing,24599064,
8,robotics_rt1,Robotics,https://arxiv.org/pdf/2212.06817,inputs\deepscientist_20_cases\papers\robotics_rt1.pdf,skipped_existing,14672588,
9,climate_remote_sensing_ai,Climate / Remote Sensing,https://arxiv.org/pdf/2107.02693,inputs\deepscientist_20_cases\papers\climate_remote_sensing_ai.pdf,skipped_existing,1961076,
10,education_llm_survey,Education,https://arxiv.org/pdf/2405.13001,inputs\deepscientist_20_cases\papers\education_llm_survey.pdf,skipped_existing,733679,
11,education_gpt_surprise,Education / Social Science,https://arxiv.org/pdf/2407.09975,inputs\deepscientist_20_cases\papers\education_gpt_surprise.pdf,skipped_existing,4339378,
12,education_llm_harm_learning,Education / HCI,https://arxiv.org/pdf/2409.09047,inputs\deepscientist_20_cases\papers\education_llm_harm_learning.pdf,skipped_existing,1491847,
13,optimization_adam,Optimization / ML,https://arxiv.org/pdf/1412.6980,inputs\deepscientist_20_cases\papers\optimization_adam.pdf,skipped_existing,584641,
14,existing_finance_evomarket,Finance / Simulation,local:inputs/papers/EvoMarket.pdf,inputs\deepscientist_20_cases\papers\existing_finance_evomarket.pdf,skipped_existing,1110976,
15,ai_clip_transfer,Vision / Multimodal AI,https://arxiv.org/pdf/2103.00020,inputs\deepscientist_20_cases\papers\ai_clip_transfer.pdf,skipped_existing,6813639,
16,cv_segment_anything,Computer Vision / Segmentation,https://arxiv.org/pdf/2304.02643,inputs\deepscientist_20_cases\papers\cv_segment_anything.pdf,skipped_existing,15644599,
17,ml_lora_adaptation,LLM Adaptation,https://arxiv.org/pdf/2106.09685,inputs\deepscientist_20_cases\papers\ml_lora_adaptation.pdf,skipped_existing,1609513,
18,genai_diffusion_ddpm,Generative Models,https://arxiv.org/pdf/2006.11239,inputs\deepscientist_20_cases\papers\genai_diffusion_ddpm.pdf,skipped_existing,10267274,
19,biomed_medpalm,Medical LLM,https://arxiv.org/pdf/2212.13138,inputs\deepscientist_20_cases\papers\biomed_medpalm.pdf,skipped_existing,1438481,
20,bio_esmfold_protein,Computational Biology,https://arxiv.org/pdf/2212.03533,inputs\deepscientist_20_cases\papers\bio_esmfold_protein.pdf,skipped_existing,484956,
