rank,accuracy,reward,false_green_count,wrong_red_count,support_score_green_min,green_min_source_agreement,allow_input_pdf_fulltext_green,cap_green_when_input_extraction_risky,title_match_threshold,predicted_distribution
1,1.0,33,0,0,0.7,2,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
2,1.0,33,0,0,0.7,2,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
3,1.0,33,0,0,0.7,2,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
4,1.0,33,0,0,0.55,2,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
5,1.0,33,0,0,0.55,2,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
6,1.0,33,0,0,0.55,2,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
7,1.0,33,0,0,0.42,2,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
8,1.0,33,0,0,0.42,2,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
9,1.0,33,0,0,0.42,2,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
10,1.0,33,0,0,0.32,2,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
11,1.0,33,0,0,0.32,2,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
12,1.0,33,0,0,0.32,2,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
13,1.0,33,0,0,0.7,1,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
14,1.0,33,0,0,0.7,1,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
15,1.0,33,0,0,0.7,1,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
16,1.0,33,0,0,0.55,1,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
17,1.0,33,0,0,0.55,1,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
18,1.0,33,0,0,0.55,1,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
19,1.0,33,0,0,0.42,1,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
20,1.0,33,0,0,0.42,1,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
21,1.0,33,0,0,0.42,1,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
22,1.0,33,0,0,0.32,1,False,True,0.9,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
23,1.0,33,0,0,0.32,1,False,True,0.86,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
24,1.0,33,0,0,0.32,1,False,True,0.82,"{""Yellow"": 9, ""Green"": 4, ""Red"": 1}"
25,0.9286,23,1,0,0.7,2,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
26,0.9286,23,1,0,0.7,2,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
27,0.9286,23,1,0,0.7,2,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
28,0.9286,23,1,0,0.55,2,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
29,0.9286,23,1,0,0.55,2,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
30,0.9286,23,1,0,0.55,2,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
31,0.9286,23,1,0,0.42,2,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
32,0.9286,23,1,0,0.42,2,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
33,0.9286,23,1,0,0.42,2,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
34,0.9286,23,1,0,0.32,2,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
35,0.9286,23,1,0,0.32,2,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
36,0.9286,23,1,0,0.32,2,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
37,0.9286,23,1,0,0.7,2,True,True,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
38,0.9286,23,1,0,0.7,2,True,True,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
39,0.9286,23,1,0,0.7,2,True,True,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
40,0.9286,23,1,0,0.55,2,True,True,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
41,0.9286,23,1,0,0.55,2,True,True,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
42,0.9286,23,1,0,0.55,2,True,True,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
43,0.9286,23,1,0,0.7,1,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
44,0.9286,23,1,0,0.7,1,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
45,0.9286,23,1,0,0.7,1,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
46,0.9286,23,1,0,0.55,1,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
47,0.9286,23,1,0,0.55,1,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
48,0.9286,23,1,0,0.55,1,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
49,0.9286,23,1,0,0.42,1,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
50,0.9286,23,1,0,0.42,1,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
51,0.9286,23,1,0,0.42,1,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
52,0.9286,23,1,0,0.32,1,False,False,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
53,0.9286,23,1,0,0.32,1,False,False,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
54,0.9286,23,1,0,0.32,1,False,False,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
